Ticker,Company,Price,Change,% Change
BAC,Bank of America Corporation,38.76,-1.38,-3.44
BBVA,Banco Bilbao Vizcaya Argentaria,9.87,-0.26,-2.57
BCS,Barclays PLC,11.55,-0.57,-4.7
BMO,Bank Of Montreal,82.33,-0.64,-0.77
BNPQY,BNP Paribas,34.24,-1.05,-2.98
BNS,Bank Nova Scotia Halifax Pfd 3,50.5,-0.13,-0.26
BSBR,Banco Santander Brasil SA,5.57,-0.1,-1.76
C,"Citigroup, Inc.",59.09,-1.54,-2.54
DB,Deutsche Bank AG,16.16,-0.45,-2.71
GS,"Goldman Sachs Group, Inc. (The)",479.61,-8.27,-1.7
HDB,HDFC Bank Limited,60.51,-0.44,-0.72
HSBC,"HSBC Holdings, plc.",42.87,-1.07,-2.44
IBKR,"Interactive Brokers Group, Inc.",122.54,-3.52,-2.79
IBN,ICICI Bank Limited,28.56,-0.55,-1.89
ING,"ING Group, N.V.",17.62,-0.31,-1.73
ITUB,Itau Unibanco Banco Holding SA,6.61,-0.13,-1.93
JPM,JP Morgan Chase & Co.,212.46,-5.17,-2.38
MS,Morgan Stanley,96.59,-2.97,-2.98
MUFG,"Mitsubishi UFJ Financial Group,",10.12,-0.27,-2.6
NU,Nu Holdings Ltd.,13.7,-0.64,-4.46
NWG,NatWest Group plc,8.67,-0.37,-4.09
PNC,"PNC Financial Services Group, I",176.7,-4.25,-2.35
RY,Royal Bank Of Canada,120.93,-0.56,-0.46
SCHW,Charles Schwab Corporation (The,62.9,-0.79,-1.24
SMFG,Sumitomo Mitsui Financial Group,12.65,-0.42,-3.21
TFC,Truist Financial Corporation,42.06,-1.09,-2.53
TD,Toronto Dominion Bank (The),60.37,-0.15,-0.25
UBS,UBS Group AG Registered,28.53,-0.83,-2.83
USB,U.S. Bancorp,44.49,-1.05,-2.31
WFC,Wells Fargo & Company,54.0,-2.86,-5.03
